trial_id,loss,accuracy,va,iteration,rp,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.lr,config.alpha,config.ratio
10ef8_00021,12.654398312140792,0.745459744380548,0.0987720472196647,10,0.11507998714960388,14.402270078659058,True,True,,,10,acfe376cf2b94d1f91653bd26e75e78c,2021-09-16_19-23-21,1631838201,149.9367802143097,47862,cengyuchendeMacBook-Pro.local,192.168.0.104,149.9367802143097,0,10,"21_alpha=0.5,lr=0.01,ratio=(10, 30)",0.01,0.5,"(10, 30)"
10ef8_00022,2.4568423825795294,0.5412239194200011,0.2833374840887708,10,0.02573488222445075,9.887633800506592,True,True,,,10,3bd55ed7d93641278ed452960b747b77,2021-09-16_19-25-26,1631838326,100.7942168712616,47922,cengyuchendeMacBook-Pro.local,192.168.0.104,100.7942168712616,0,10,"22_alpha=1,lr=0.01,ratio=(10, 30)",0.01,1.0,"(10, 30)"
10ef8_00023,0.04466109216330268,0.5412239194200011,0.2833374840887708,10,0.000330878936805612,2.5557069778442383,True,True,,,10,1c5bce898e4d42f697ca01fb28f33ef2,2021-09-16_19-26-51,1631838411,51.91969084739685,47969,cengyuchendeMacBook-Pro.local,192.168.0.104,51.91969084739685,0,10,"23_alpha=2,lr=0.01,ratio=(10, 30)",0.01,2.0,"(10, 30)"
10ef8_00024,69.0586083208549,0.5779046483429682,0.24825165149754228,5,0.12138110137337521,0.3215160369873047,True,True,,,5,e183cab5e44541498beb828fbf7846c8,2021-09-16_19-27-03,1631838423,1.645855188369751,47988,cengyuchendeMacBook-Pro.local,192.168.0.104,1.645855188369751,0,5,"24_alpha=0.001,lr=0.001,ratio=(100, 3)",0.001,0.001,"(100, 3)"
10ef8_00025,66.78119170141245,0.5679092938349123,0.2571837417844391,5,0.1120560307722398,0.6576418876647949,True,True,,,5,e9c2255bcee74f7a9c2e2e8c66bab673,2021-09-16_19-27-17,1631838437,3.2281248569488525,47993,cengyuchendeMacBook-Pro.local,192.168.0.104,3.2281248569488525,0,5,"25_alpha=0.05,lr=0.001,ratio=(100, 3)",0.001,0.05,"(100, 3)"
10ef8_00026,65.37685310685173,0.5619944673364896,0.2630985682828619,5,0.10669362828443796,0.4385950565338135,True,True,,,5,7a79454f50374577bde3b68c84e82c0d,2021-09-16_19-27-33,1631838453,2.7951278686523438,48005,cengyuchendeMacBook-Pro.local,192.168.0.104,2.7951278686523438,0,5,"26_alpha=0.08,lr=0.001,ratio=(100, 3)",0.001,0.08,"(100, 3)"
10ef8_00027,64.43865265385354,0.560022858503682,0.26507017711566944,5,0.1031702770870303,0.3269531726837158,True,True,,,5,116623bf7a194b458f0c2c40f0a3950e,2021-09-16_19-27-45,1631838465,1.6861648559570312,48012,cengyuchendeMacBook-Pro.local,192.168.0.104,1.6861648559570312,0,5,"27_alpha=0.1,lr=0.001,ratio=(100, 3)",0.001,0.1,"(100, 3)"
10ef8_00028,59.72733650495319,0.5471387459184238,0.2774226575903481,5,0.08705574752947876,0.4268631935119629,True,True,,,5,af9aff3d0b224ef4b27f2e8a4749b31c,2021-09-16_19-27-57,1631838477,2.4462902545928955,48022,cengyuchendeMacBook-Pro.local,192.168.0.104,2.4462902545928955,0,5,"28_alpha=0.2,lr=0.001,ratio=(100, 3)",0.001,0.2,"(100, 3)"
10ef8_00029,45.89795837669819,0.5412239194200011,0.2833374840887708,5,0.050927746432416154,0.4211719036102295,True,True,,,5,a4287715abc14a8b8466d16c69997d14,2021-09-16_19-28-12,1631838492,2.348007917404175,48029,cengyuchendeMacBook-Pro.local,192.168.0.104,2.348007917404175,0,5,"29_alpha=0.5,lr=0.001,ratio=(100, 3)",0.001,0.5,"(100, 3)"
10ef8_00030,25.82926407578149,0.5412239194200011,0.2833374840887708,5,0.02012857036300042,0.400439977645874,True,True,,,5,3b3f6458cb7047e5bbef703fc034ccf6,2021-09-16_19-28-25,1631838505,1.8163690567016602,48035,cengyuchendeMacBook-Pro.local,192.168.0.104,1.8163690567016602,0,5,"30_alpha=1,lr=0.001,ratio=(100, 3)",0.001,1.0,"(100, 3)"
10ef8_00031,0.00566395144887186,0.4587760805799989,0.28333748408877085,100,2.0439351608003697e-05,0.42807984352111816,True,True,,,100,6687520f143047f8ab7084ef3dd10c5b,2021-09-16_19-29-19,1631838559,43.78734111785889,48048,cengyuchendeMacBook-Pro.local,192.168.0.104,43.78734111785889,0,100,"31_alpha=2,lr=0.001,ratio=(100, 3)",0.001,2.0,"(100, 3)"
10ef8_00032,36.67590615813189,0.8312036603793204,0.04492605785566106,5,0.21499933160784773,0.34543371200561523,True,True,,,5,e0545abbc4854fecb45263401c7e932f,2021-09-16_19-29-30,1631838570,1.7897248268127441,48071,cengyuchendeMacBook-Pro.local,192.168.0.104,1.7897248268127441,0,5,"32_alpha=0.001,lr=0.005,ratio=(100, 3)",0.005,0.001,"(100, 3)"
10ef8_00033,35.93872996637443,0.8049038030982245,0.06909938669443899,5,0.22682895143512327,0.49275994300842285,True,True,,,5,0c60e4914c7a49248d4d915e3fd73f94,2021-09-16_19-29-44,1631838584,2.9942870140075684,48079,cengyuchendeMacBook-Pro.local,192.168.0.104,2.9942870140075684,0,5,"33_alpha=0.05,lr=0.005,ratio=(100, 3)",0.005,0.05,"(100, 3)"
10ef8_00034,34.00014453966046,0.7975489998775737,0.07751745413624878,5,0.23462952757690125,0.4334232807159424,True,True,,,5,3ad764c3d9d345af9640650c778eaa69,2021-09-16_19-29-56,1631838596,2.1575801372528076,48087,cengyuchendeMacBook-Pro.local,192.168.0.104,2.1575801372528076,0,5,"34_alpha=0.08,lr=0.005,ratio=(100, 3)",0.005,0.08,"(100, 3)"
